,年份,分区,项目,合计_surface,农田灌溉_surface,林牧渔畜_surface,工业_surface,城镇公共_surface,居民生活_surface,生态环境_surface,合计_groundwater,农田灌溉_groundwater,林牧渔畜_groundwater,工业_groundwater,城镇公共_groundwater,居民生活_groundwater,生态环境_groundwater
54,2006,河源-兰州,取水量,1.91,1.07,0.67,0.05,0.01,0.11,0.0,0.14,0.0,0.02,0.03,0.04,0.05,0.0
55,2006,河源-兰州,耗水量,1.64,0.95,0.58,0.03,0.01,0.07,0.0,0.07,0.0,0.02,0.01,0.01,0.03,0.0
56,2006,兰州-头道拐,取水量,30.65,21.52,1.67,5.61,0.36,1.36,0.13,6.27,1.41,0.03,3.06,0.46,1.1,0.21
57,2006,兰州-头道拐,耗水量,26.6,18.88,1.42,4.82,0.33,1.03,0.12,3.24,1.18,0.02,1.18,0.17,0.54,0.15
58,2006,头道拐-龙门,取水量,159.27,132.84,12.66,9.66,1.1,1.97,1.04,26.02,12.68,2.71,6.77,0.95,2.57,0.34
59,2006,头道拐-龙门,耗水量,105.82,85.63,10.73,5.77,0.99,1.69,1.01,18.92,11.1,2.36,3.39,0.47,1.34,0.26
60,2006,龙门-三门峡,取水量,10.45,6.06,0.59,2.03,0.59,1.17,0.01,7.09,3.56,0.64,1.78,0.15,0.9,0.06
61,2006,龙门-三门峡,耗水量,9.04,5.27,0.51,1.63,0.58,1.04,0.01,5.62,3.13,0.56,1.07,0.08,0.73,0.05
62,2006,三门峡-花园口,取水量,46.59,31.73,2.85,6.11,1.55,3.67,0.68,54.72,26.18,3.9,14.18,2.08,7.99,0.39
63,2006,三门峡-花园口,耗水量,39.24,28.02,2.44,4.25,1.41,2.45,0.67,39.16,21.99,3.27,7.03,1.0,5.5,0.37
64,2006,花园口-利津,取水量,20.83,13.62,0.61,4.73,0.53,1.14,0.2,17.69,6.58,0.96,6.72,0.44,2.45,0.54
65,2006,花园口-利津,耗水量,18.55,12.7,0.53,3.66,0.5,0.98,0.18,10.53,5.39,0.78,2.14,0.22,1.57,0.43
66,2006,利津-河口,取水量,103.99,81.98,4.91,6.58,1.53,4.17,4.82,23.19,17.25,1.72,1.59,0.19,2.37,0.07
67,2006,利津-河口,耗水量,102.83,81.28,4.79,6.32,1.52,4.12,4.8,17.8,14.15,1.41,0.53,0.08,1.6,0.03
68,2006,黄河内流区,取水量,1.23,0.98,0.08,0.16,0.0,0.01,0.0,2.06,1.23,0.6,0.11,0.01,0.1,0.01
69,2006,黄河内流区,耗水量,1.02,0.83,0.07,0.11,0.0,0.01,0.0,1.65,1.01,0.49,0.07,0.01,0.06,0.01
70,2006,合计,取水量,374.92,289.8,24.04,34.93,5.67,13.6,6.88,137.18,68.89,10.58,34.24,4.32,17.53,1.62
71,2006,合计,耗水量,304.74,233.56,21.07,26.59,5.34,11.39,6.79,96.99,57.95,8.91,15.42,2.04,11.37,1.3
